SEX,CURICULUM,LOCAL_CAPITAL,PREV_DEGREE,GPA,RELIGION,FUND,CUM_GPA,COUNT_TERM,PARENTS_INCOME,PARENTS_MARRIED,DROPOUT
1,1,0,2,3.43,0,0,2.65,9,59999,3,1
1,1,1,2,3.38,0,0,2.67,9,6000,1,1
1,1,1,2,2.9,0,0,1.84,5,5000,1,0
1,1,0,0,3.29,0,0,2.71,6,6850,0,1
1,1,1,0,2.94,0,0,3.39,9,3500,1,1
1,1,1,0,2.3,0,0,2.09,10,12000,1,1
1,1,0,0,2.35,0,0,2.79,1,32500,1,0
0,1,1,0,1.82,0,0,2.3,13,22500,1,1
1,1,1,0,2.37,0,0,0,0,12500,1,0
0,1,0,0,2.2,0,0,2.36,9,70000,1,1
0,1,0,0,2.91,0,0,3.33,7,5000,1,1
1,1,0,0,2.66,1,0,1.77,9,6000,1,0
1,1,1,0,3.28,1,0,2.96,1,12790,1,0
0,1,0,0,2.58,0,0,2.06,1,8250,1,0
1,1,1,0,3.48,0,0,3.13,8,21180,1,1
1,1,1,0,2.32,0,0,2.58,9,45000,1,1
1,1,0,0,2.71,0,0,2.48,10,14250,1,1
1,1,1,0,2.95,0,0,3.2,7,4750,1,1
1,1,1,0,3.33,0,0,2.84,9,11500,0,1
1,1,0,0,3.13,0,0,3.47,7,4750,1,1
1,1,0,0,1.76,0,0,2.17,11,30000,1,1
1,1,0,0,2.57,0,0,2.07,12,4000,1,1
1,1,0,0,2.97,0,0,2.22,9,44270,1,1
1,1,1,0,2.5,0,0,2.06,10,5050,1,1
1,0,1,0,3.18,0,0,3.4,8,15000,1,1
0,0,0,0,3.41,0,0,2.56,8,20000,1,1
1,0,0,0,3.45,0,0,2.99,9,25000,1,1
0,0,1,0,2.95,0,0,2.9,8,35000,1,1
0,0,1,0,2.76,1,0,2.4,8,4500,1,1
1,0,1,0,3.34,0,0,2.99,10,75000,1,1
1,0,1,0,2.71,1,0,0.23,1,1650,1,0
0,0,1,0,3.2,1,0,2.24,10,30000,0,1
0,0,0,0,2.41,0,0,2.09,15,41500,1,1
1,0,1,0,3.32,0,0,2.44,9,2500,1,1
1,0,1,0,3.06,0,0,2.8,9,24010,1,1
